house_district,person_gender,Возрастной класс,person_exemption_group,sum
Академический,f,18-25,Многодетные,0.00365537156851994
Академический,f,18-25,,0.14237672259385167
Академический,f,25-45,Беременность,0.011624081587893409
Академический,f,25-45,Инвалид,0.0058120407939467045
Академический,f,25-45,Малоимущие,0.0001096611470555982
Академический,f,25-45,Многодетные,0.02010454362685967
Академический,f,25-45,Пенсионер,0.0030705121175567496
Академический,f,25-45,,0.5872719961984135
Академический,f,45-60,,0.29078480827576125
Академический,f,60-75,Ветеран труда,0.07460613371349198
Академический,f,60-75,Инвалид,0.03355631099901305
Академический,f,60-75,,0.08308659575245823
Академический,f,7-18,Беременность,0.0001096611470555982
Академический,f,7-18,Инвалид,0.0002193222941111964
Академический,f,7-18,Малоимущие,0.011039222136930218
Академический,f,7-18,Многодетные,0.026684212450195564
Академический,f,7-18,,0.1698285630734364
Академический,f,75-90,Ветеран труда,0.03582264137149541
Академический,f,75-90,,0.038015864312607374
Академический,f,90<,Ветеран труда,0.0006945205980187886
Академический,f,90<,Инвалид,0.006433453960595094
Академический,f,90<,Многодетные,3.65537156851994e-05
Академический,m,18-25,Дети инвалиды,0.0009869503235003837
Академический,m,18-25,Инвалид,0.0011331651862411813
Академический,m,18-25,Многодетные,0.003728478999890339
Академический,m,18-25,Пенсионер,0.0046423218920203235
Академический,m,18-25,,0.1278283437511423
Академический,m,45-60,Ветеран труда,0.0010600577548707825
Академический,m,45-60,Инвалид,0.01337865994078298
Академический,m,45-60,Пенсионер,0.015389114303468947
Академический,m,45-60,,0.2706437109332164
Академический,m,60-75,Инвалид,0.02566070841100998
Академический,m,60-75,,0.08228241400738386
Академический,m,7-18,Инвалид,0.000182768578425997
Академический,m,7-18,Молодые родители,3.65537156851994e-05
Академический,m,75-90,Многодетные,3.65537156851994e-05
Академический,m,90<,Многодетные,3.65537156851994e-05
Академический,m,90<,Пенсионер,0.0016814709215191724
Академический,m,<7,Пенсионер,0.0005117520195927916
Алексеевский,f,18-25,Ветеран труда,5.0594485201113076e-05
Алексеевский,f,18-25,Дети инвалиды,0.000607133822413357
Алексеевский,f,18-25,Пенсионер,0.006374905135340248
Алексеевский,f,25-45,Беременность,0.012193270933468251
Алексеевский,f,45-60,Ветеран труда,0.009967113584619276
Алексеевский,f,45-60,Молодые родители,0.0005059448520111307
Алексеевский,f,45-60,,0.2770554009612952
Алексеевский,f,60-75,Многодетные,0.00010118897040222615
Алексеевский,f,60-75,Пенсионер,0.160182140146724
Алексеевский,f,7-18,Беременность,0.00015178345560333924
Алексеевский,f,7-18,Дети инвалиды,0.0032886415380723503
Алексеевский,f,7-18,Пенсионер,0.004502909182899064
Алексеевский,f,75-90,Ветеран труда,0.045130280799392866
Алексеевский,f,<7,Пенсионер,0.0003035669112066785
Алексеевский,f,<7,,0.08373387300784214
Алексеевский,m,25-45,Ветеран труда,0.00010118897040222615
Алексеевский,m,25-45,Инвалид,0.007336200354161397
Алексеевский,m,25-45,Пенсионер,0.003845180875284594
Алексеевский,m,45-60,Ветеран труда,0.0008095117632178092
Алексеевский,m,45-60,Инвалид,0.015583101441942828
Алексеевский,m,45-60,Молодые родители,0.000607133822413357
Алексеевский,m,60-75,Инвалид,0.02681507715658993
Алексеевский,m,60-75,Многодетные,0.0004553503668100177
Алексеевский,m,7-18,Инвалид,0.0002023779408044523
