index,peoples_count
7,1123
11,735
12,280
13,155
14,370
15,226
16,270
20,280
21,471
26,531
28,407
29,166
31,700
33,300
34,294
37,594
38,304
39,160
40,380
41,225
43,673
44,669
45,964
53,320
79,233
80,227
81,181
82,280
105,1386
174,445
175,225
176,1007
187,136
188,3022
190,935
194,482
197,242
199,571
200,284
220,895
225,227
227,171
228,310
229,228
231,315
232,386
233,404
234,163
242,563
243,282
244,165
245,631
246,215
247,232
251,243
252,235
253,175
255,555
256,336
257,146
258,411
259,574
260,462
267,275
268,371
304,858
381,389
382,390
388,226
389,229
392,1499
396,4316
402,564
404,802
406,356
407,296
408,86
411,108
415,282
426,704
428,286
433,225
435,137
436,391
438,169
440,235
441,736
445,384
446,448
447,328
449,570
451,274
452,287
453,166
455,225
457,510
458,724
461,299
466,766
467,106
468,313
469,1114
470,885
472,681
473,174
474,359
482,928
509,542
510,1091
513,715
514,545
518,831
519,353
522,578
589,159
590,167
596,389
602,222
603,230
605,150
614,297
615,299
616,551
618,124
621,299
622,298
623,298
624,108
625,230
626,450
628,541
637,1475
638,489
641,318
645,572
646,374
647,188
652,639
654,525
655,236
656,682
658,716
659,383
660,298
661,172
662,234
663,263
666,812
670,738
672,1190
675,299
677,443
678,55
679,183
680,443
681,842
684,724
685,400
687,245
688,213
690,104
696,991
723,332
724,357
725,469
726,338
727,338
728,169
732,343
734,637
735,230
736,430
800,309
802,545
803,497
804,109
805,277
809,180
817,111
818,105
829,1064
831,103
832,593
833,296
834,294
835,0
836,556
838,235
839,850
841,1144
843,298
845,1049
849,837
855,151
861,332
868,1184
869,379
870,158
871,721
872,282
873,312
874,309
875,172
877,319
878,441
884,415
885,1313
887,502
888,227
889,573
892,70
893,335
894,65
895,253
896,152
897,330
899,137
900,153
902,369
903,103
910,162
928,554
929,452
931,1286
932,232
934,233
935,791
939,452
940,336
941,169
942,147
946,704
948,299
950,855
1011,62
1012,126
1013,332
1014,124
1015,356
1017,324
1020,415
1022,427
1023,255
1024,283
1042,326
1044,558
1045,163
1047,862
1049,401
1050,465
1052,401
